Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"0.1000","0.0002","0.0002"
"0.2000","0.0008","0.0002"
"0.3000","0.0018","0.0002"
"0.4000","0.0040","0.0002"
"0.5000","0.0066","0.0002"
"0.6000","0.0099","0.0002"
"0.7000","0.0150","0.0002"
"0.8000","0.0192","0.0002"
"0.9000","0.0237","0.0002"
"1.0000","0.0282","0.0002"
"1.1000","0.0324","0.0002"
"1.2000","0.0365","0.0002"
"1.3000","0.0409","0.0002"
"1.4000","0.0456","0.0002"
"1.5000","0.0499","0.0002"
"1.6000","0.0535","0.0002"
"1.7000","0.0571","0.0002"
"1.8000","0.0615","0.0002"
"1.9000","0.0661","0.0002"
"2.0000","0.0704","0.0003"
"2.1000","0.0751","0.0003"
"2.2000","0.0796","0.0003"
"2.3000","0.0836","0.0003"
"2.4000","0.0873","0.0003"
"2.5000","0.0912","0.0003"
"2.6000","0.0955","0.0003"
"2.7000","0.1001","0.0003"
"2.8000","0.1041","0.0003"
"2.9000","0.1075","0.0003"
"3.0000","0.1115","0.0003"
"3.1000","0.1161","0.0003"
"3.2000","0.1204","0.0003"
"3.3000","0.1247","0.0003"
"3.4000","0.1293","0.0003"
"3.5000","0.1336","0.0003"
"3.6000","0.1377","0.0003"
"3.7000","0.1415","0.0003"
"3.8000","0.1458","0.0003"
"3.9000","0.1503","0.0003"
"4.0000","0.1544","0.0003"
"4.1000","0.1578","0.0003"
"4.2000","0.1613","0.0003"
"4.3000","0.1654","0.0003"
"4.4000","0.1698","0.0003"
"4.5000","0.1741","0.0003"
"4.6000","0.1788","0.0004"
"4.7000","0.1835","0.0004"
"4.8000","0.1878","0.0004"
"4.9000","0.1916","0.0004"
"5.0000","0.1956","0.0004"
"5.1000","0.2001","0.0004"
"5.2000","0.2045","0.0004"
"5.3000","0.2081","0.0004"
"5.4000","0.2114","0.0004"
"5.5000","0.2153","0.0004"
"5.6000","0.2198","0.0004"
"5.7000","0.2242","0.0004"
"5.8000","0.2286","0.0004"
"5.9000","0.2333","0.0004"
"6.0000","0.2379","0.0004"
"6.1000","0.2419","0.0004"
"6.2000","0.2455","0.0004"
"6.3000","0.2496","0.0005"
"6.4000","0.2541","0.0005"
"6.5000","0.2585","0.0005"
"6.6000","0.2621","0.0005"
"6.7000","0.2658","0.0005"
"6.8000","0.2701","0.0005"
"6.9000","0.2747","0.0005"
"7.0000","0.2791","0.0005"
"7.1000","0.2834","0.0005"
"7.2000","0.2877","0.0005"
"7.3000","0.2918","0.0005"
"7.4000","0.2956","0.0005"
"7.5000","0.2995","0.0005"
